AirportID|AirportCode|AirportName|Latitude|Longitude|MainCityID|CountryCode
6033349|YAB|Arctic Bay, NU, Canada (YAB)|73.004487|-85.029030||CA
6033351|YAC|Cat Lake, ON, Canada (YAC)|51.726178|-91.827850||CA
6033355|YAJ|Saturna Island, BC, Canada (YAJ-Lyall Harbour Seaplane Base)|48.796790|-123.201540||CA
6033357|YAK|Yakutat, AK, United States (YAK)|59.508000|-139.670000||US
6033361|YAT|Attawapiskat, ON, Canada (YAT)|52.926291|-82.429562||CA
6033363|YAV|Mayne Island, BC, Canada (YAV-Miners Bay Seaplane Base)|48.852010|-123.301960||CA
6033365|YAX|Angling Lake, ON, Canada (YAX-Angling Lake-Wapekeka)|53.845134|-89.573593||CA
6033367|YAZ|Tofino, BC, Canada (YAZ)|49.079430|-125.769190||CA
6033369|YBB|Pelly Bay, NU, Canada (YBB-Kugaaruk)|68.537909|-89.790573||CA
6033373|YBE|Uranium City, SK, Canada (YBE)|59.559460|-108.484617||CA
6033375|YBF|Bamfield, BC, Canada (YBF-Bamfield Water Aerodrome)|48.835264|-125.135264||CA
6033377|YBG|Bagotville, PQ, Canada (YBG)|48.336830|-70.999810||CA
6033379|YBI|Black Tickle, NL, Canada (YBI)|53.467511|-55.783081||CA
6033383|YBK|Baker Lake, NU, Canada (YBK)|64.305079|-96.074924||CA
6033385|YBL|Campbell River, BC, Canada (YBL)|49.951579|-125.268002|3899|CA
6033391|YBP|Yibin, China (YBP)|28.799179|104.546413|3900|CN
6033395|YBR|Brandon, MB, Canada (YBR)|49.904041|-99.946039|602996|CA
6033397|YBT|Brochet, MB, Canada (YBT)|57.886386|-101.681361||CA
6033399|YBV|Berens River, MB, Canada (YBV)|52.358112|-97.017411||CA
6033401|YBW|Bedwell Harbour, BC, Canada (YBW-Bedwell Harour Seaplane Base)|48.747120|-123.229810|601380|CA
6033403|YBY|Bonnyville, AB, Canada (YBY)|54.306359|-110.746393|6139544|CA
6033407|YCA|Courtenay, BC, Canada (YCA-Courtenay Airpark)|49.681940|-124.984880|3899|CA
6033409|YCC|Cornwall, ON, Canada (YCC-Cornwall Regional)|45.091670|-74.564870||CA
6033411|YCD|Nanaimo, BC, Canada (YCD-Nanaimo Airport)|49.052960|-123.874850|3908|CA
6033413|YCF|Cortes Bay, BC, Canada (YCF-Cortes Island)|50.018770|-124.984245||CA
6033415|YCG|Castlegar, BC, Canada (YCG)|49.300670|-117.636830|6058314|CA
6033417|YCH|Miramichi, NB, Canada (YCH)|47.008100|-65.467120|6141062|CA
6033419|YCK|Colville Lake, NWT, Canada (YCK)|67.041517|-126.088028||CA
6033421|YCL|Charlo, NB, Canada (YCL)|47.987308|-66.331329||CA
6033423|YCN|Cochrane, ON, Canada (YCN)|49.105030|-81.005880||CA
6033425|YCO|Coppermine, NU, Canada (YCO-Kugluktuk)|67.817210|-115.133414||CA
6033427|YCQ|Chetwynd, BC, Canada (YCQ)|55.690950|-121.616900||CA
6033429|YCR|Cross Lake, MB, Canada (YCR)|54.609034|-97.767898||CA
